usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
11180,"CORN,sweet, yellow,frozen,kernels ON COB,unprepared ",98,3.28,0.78,23.5,2.8,3.78,4,0.68,294,5,7.2,244,0.09,0.12,0,165,"1 cup, kernels",125,"1 ear, yields"
11774,"CORN,sweet, yellow,frozen,kernels,CUT OFF COB, boiled, drained, with SALT",79,2.55,0.67,18.71,2.4,3.07,3,0.47,233,245,3.5,199,0.07,0.066,0,165,1 cup,284,"1 package, (10 oz) yields"
11167,"CORN,sweet, yellow,RAW",86,3.27,1.35,18.7,2,6.26,2,0.52,270,15,6.8,187,0.07,0.325,0,145,1 cup,143,"1 ear, large (7-3/4"" to 9"" long) yields"
20314,"CORN,WHITE",365,9.42,4.74,74.26,,,7,2.71,287,35,0,0,,0.667,0,166,1 cup,,
35135,"CORN,WHITE,steamed (NAVAJO)",386,9.72,5.18,75.2,16.6,6.47,14,2.29,532,4,0,,0,0.83,,,,,
11182,"CORN, yellow,whole KERNEL,frozen,MICROWAVED",131,3.62,1.42,25.87,2.6,3.36,5,0.39,276,4,,234,0.1,0.15,0,141,1 cup,,
20014,"CORN,YELLOW",365,9.42,4.74,74.26,7.3,0.64,7,2.71,287,35,0,214,0.49,0.667,0,166,1 cup,,
35131,"CORNMEAL,BLUE (NAVAJO)",398,10.4,5.44,76.93,8.7,1.81,5,2.91,393,7,0,,0.73,0.886,,,,,
20322,"CORNMEAL,DEGERMED, enriched, WHITE",370,7.11,1.75,79.45,3.9,1.61,3,4.36,142,7,0,3,0.12,0.169,0,157,1 cup,,
20022,"CORNMEAL,DEGERMED, enriched, yellow",370,7.11,1.75,79.45,3.9,1.61,3,4.36,142,7,0,214,0.12,0.169,0,157,1 cup,,
20522,"CORNMEAL,DEGERMED,unenriched,WHITE",370,7.11,1.75,79.45,3.9,1.61,3,1.1,142,7,0,3,0.12,0.169,0,157,1 cup,,
20422,"CORNMEAL,DEGERMED,unenriched,yellow",370,7.11,1.75,79.45,3.9,1.61,3,1.1,142,7,0,214,0.12,0.169,0,157,1 cup,,
20323,"CORNMEAL,SELF-RISING,BOLTED, plain, enriched,WHITE",334,8.28,3.4,70.28,6.7,,361,5.76,255,1247,0,0,,0.478,0,122,1 cup,,
20023,"CORNMEAL,SELF-RISING,BOLTED, plain, enriched,yellow",334,8.28,3.4,70.28,6.7,,361,5.76,255,1247,0,469,,0.478,0,122,1 cup,,
20324,"CORNMEAL,SELF-RISING,BOLTED, with WHEAT flour, enriched, WHITE",348,8.41,2.85,73.43,6.3,,299,4.95,207,1319,0,0,,0.4,0,170,1 cup,,
20024,"CORNMEAL,SELF-RISING,BOLTED, with WHEAT flour, enriched, yellow",348,8.41,2.85,73.43,6.3,,299,4.95,207,1319,0,287,,0.4,0,170,1 cup,,
